iter	Passed	Remaining
354	593	1079
355	594	1076
356	596	1073
357	597	1071
358	598	1068
359	599	1065
360	600	1063
361	601	1060
362	602	1057
363	603	1054
364	604	1052
365	605	1049
366	606	1046
367	607	1044
368	609	1041
369	610	1039
370	611	1036
371	612	1034
372	613	1031
373	614	1029
374	615	1026
375	617	1024
376	618	1021
377	619	1018
378	620	1016
379	621	1013
380	622	1010
381	623	1008
382	624	1005
383	625	1003
384	626	1000
385	627	998
386	628	996
387	629	993
388	631	991
389	632	988
390	633	986
391	634	983
392	635	981
393	636	978
394	637	976
395	638	973
396	639	971
397	640	968
398	641	966
399	642	963
400	643	961
401	644	959
402	645	956
403	647	954
404	648	952
405	649	949
406	650	947
407	651	945
408	652	942
409	653	940
410	654	937
411	655	935
412	656	933
413	657	930
414	658	928
415	659	926
416	660	923
417	661	921
418	662	919
419	664	916
420	665	914
421	666	912
422	667	910
423	668	908
424	669	905
425	670	903
426	671	901
427	672	898
428	673	896
429	674	894
430	675	891
431	676	889
432	677	887
433	678	885
434	680	883
435	681	880
436	682	878
437	683	876
438	684	874
439	685	872
440	686	869
441	687	867
442	688	865
443	689	863
444	690	861
445	691	858
446	692	856
447	693	854
448	694	852
449	696	850
450	697	848
451	698	846
452	699	844
453	700	842
454	701	840
455	702	837
456	703	835
457	704	833
458	705	831
459	706	829
460	707	827
461	708	825
462	710	823
463	711	821
464	712	819
465	713	817
466	714	815
